,category,rating,label,text_
0,Home_and_Kitchen_5,5,Computer Generated,"""I love well-made, sturdy comfort. I love very pretty things."""
1,Home_and_Kitchen_5,5,Computer Generated,"""I love the great upgrade origin. I've had mine for a couple of years."""
2,Home_and_Kitchen_5,5,Computer Generated,"""This pillow saves my back. I love the look and feel of the pillow."""
3,Home_and_Kitchen_5,1,Computer Generated,"""I miss the information about using this great product at a good price."""
4,Home_and_Kitchen_5,5,Computer Generated,"""Very nice set, good quality. We’ve had it for two months."""
5,Home_and_Kitchen_5,3,Computer Generated,"""I want a different flavor, but they are not available."""
6,Home_and_Kitchen_5,5,Computer Generated,"""They are the perfect touch. I wish there was a little more space."""
7,Home_and_Kitchen_5,3,Computer Generated,"""These fit well, look great, and I love the smooth edges and extra features."""
8,Home_and_Kitchen_5,5,Computer Generated,"""Great big numbers that are easy to read; the only thing I don't like is the size."""
9,Home_and_Kitchen_5,5,Computer Generated,my son love comfort well made we also babi
10,Home_and_Kitchen_5,5,Computer Generated,a advertis 5th one i 've the problem 's realli
11,Home_and_Kitchen_5,5,Computer Generated,veri handi one kid tool includ packag i one
12,Home_and_Kitchen_5,5,Computer Generated,did someon say `` orient '' it great product
13,Home_and_Kitchen_5,1,Computer Generated,these flimsi they qualiti would expect piec furnitur
14,Home_and_Kitchen_5,5,Computer Generated,make may tea stir the problem 's kind hard put
15,Home_and_Kitchen_5,5,Computer Generated,absolut ador and excel price we wooden one month
16,Home_and_Kitchen_5,5,Computer Generated,love perfect size entir famili veri good qualiti
17,Home_and_Kitchen_5,5,Computer Generated,these look beauti nice the problem 's realli mesh one
18,Home_and_Kitchen_5,5,Computer Generated,exactli would expect i love look feel pillow
19,Home_and_Kitchen_5,5,Computer Generated,star i would highli recommend item we love blanket
20,Home_and_Kitchen_5,5,Computer Generated,great littl egg masher we month 's
21,Home_and_Kitchen_5,5,Computer Generated,a advertis easi use love color also dimens
22,Home_and_Kitchen_5,5,Computer Generated,exactli pictur i love look feel pillow
23,Home_and_Kitchen_5,5,Computer Generated,fantast i want i love look feel pillow
24,Home_and_Kitchen_5,5,Computer Generated,suppos come extra hardwar the problem 's realli vacuum
25,Home_and_Kitchen_5,5,Computer Generated,easi use seem easi way make smoothi small person
26,Home_and_Kitchen_5,2,Computer Generated,not i accustom the reason i gave star i
27,Home_and_Kitchen_5,5,Computer Generated,nice product seller ye thin plastic piec howev handl
28,Home_and_Kitchen_5,5,Computer Generated,so good bought second set look like first one i sure
29,Home_and_Kitchen_5,5,Computer Generated,wonder aroma throughout hous the problem 's kind hard put
30,Home_and_Kitchen_5,5,Computer Generated,receiv time flat i love look my husband like
31,Home_and_Kitchen_5,3,Computer Generated,these okay nice one i got local store
32,Home_and_Kitchen_5,3,Computer Generated,gave away thought would good addit kitchen i
33,Home_and_Kitchen_5,4,Computer Generated,product fine wish option separ handl
34,Home_and_Kitchen_5,5,Computer Generated,awesom i say materi good qualiti decent
35,Home_and_Kitchen_5,3,Computer Generated,way heavi everyday use the reason i gave star one
36,Home_and_Kitchen_5,5,Computer Generated,well made work great we wooden part cup coupl
37,Home_and_Kitchen_5,5,Computer Generated,bought go old suction cup i also love remov
38,Home_and_Kitchen_5,5,Computer Generated,just expect look great design make nice place babi
39,Home_and_Kitchen_5,1,Computer Generated,aw experi everyth stuck cook evenli the problem 's realli
40,Home_and_Kitchen_5,5,Computer Generated,doe great job keep suction i also love n't slide
41,Home_and_Kitchen_5,2,Computer Generated,sheet color is nice buy for my size for my town
42,Home_and_Kitchen_5,5,Computer Generated,save instead origin ship box i keep money veri pretti
43,Home_and_Kitchen_5,5,Computer Generated,these towel real nice i love feel they nice feel
44,Home_and_Kitchen_5,5,Computer Generated,work great easi clean easi clean i purchas veri pretti
45,Home_and_Kitchen_5,3,Computer Generated,alright price littl disappoint qualiti product
46,Home_and_Kitchen_5,4,Computer Generated,great qualiti beauti color we one month love
47,Home_and_Kitchen_5,1,Computer Generated,i put paper one corner cabinet put piec paper corner
48,Home_and_Kitchen_5,5,Computer Generated,great sticker littl small the reason i gave star one
49,Home_and_Kitchen_5,5,Computer Generated,great qualiti fabric look great it thick enough hold small amount coffe
50,Home_and_Kitchen_5,5,Computer Generated,perfect they exactli i need i keep long time
51,Home_and_Kitchen_5,5,Computer Generated,love movi time took finish i keep review next time
52,Home_and_Kitchen_5,1,Computer Generated,will seal properli atroci littl one feel like break throw
53,Home_and_Kitchen_5,5,Computer Generated,got third time i small dog son love throw
54,Home_and_Kitchen_5,5,Computer Generated,excel product much better qualiti one get walmart
55,Home_and_Kitchen_5,5,User Generated,these perfect exactli i look
56,Home_and_Kitchen_5,5,User Generated,such great purchas ca n't beat price
57,Home_and_Kitchen_5,5,User Generated,what say -- cheap work intend
58,Home_and_Kitchen_5,5,User Generated,these nice sturdi like color choic
59,Home_and_Kitchen_5,5,User Generated,it nice bowl fast ship
60,Home_and_Kitchen_5,5,User Generated,great cup will last forev keep thing cool warm
61,Home_and_Kitchen_5,5,User Generated,love thought would bit bigger
62,Home_and_Kitchen_5,5,User Generated,excel qualiti product perfect ccozinha
63,Home_and_Kitchen_5,5,User Generated,thi fan realli pretti i actual use
64,Home_and_Kitchen_5,1,User Generated,super rough soft wash cloth like bar towel
65,Home_and_Kitchen_5,5,User Generated,like littl guy use often he small
66,Home_and_Kitchen_5,5,User Generated,perfect size .easi unfold topremov storag love
67,Home_and_Kitchen_5,1,User Generated,doe good job difficult use
68,Home_and_Kitchen_5,5,User Generated,frame beauti craft look great pictur
69,Home_and_Kitchen_5,5,User Generated,my hot cocoa final perfect thi product fabul
70,Home_and_Kitchen_5,5,User Generated,bought friend love
71,Home_and_Kitchen_5,5,User Generated,veri soft great qualiti low price
72,Home_and_Kitchen_5,5,User Generated,purchas christma gift she love
73,Home_and_Kitchen_5,5,User Generated,accur descript work great came time 'm happi
74,Home_and_Kitchen_5,5,User Generated,use duvet cover fluffi perfect fit
75,Home_and_Kitchen_5,5,User Generated,one softest blanket ever so nice cozi
76,Home_and_Kitchen_5,5,User Generated,smell great fine mist dri quickli my favorit
77,Home_and_Kitchen_5,5,User Generated,exactli i expect perfect curtain bedroom
78,Home_and_Kitchen_5,4,User Generated,just i want hang pant skirt
79,Home_and_Kitchen_5,3,User Generated,it 's kind small look someth larger
80,Home_and_Kitchen_5,4,User Generated,a littl pricey
81,Home_and_Kitchen_5,5,User Generated,work great charg kept day long
82,Home_and_Kitchen_5,5,User Generated,thi nice qualiti frame good price
83,Home_and_Kitchen_5,3,User Generated,doe job noth special not hard instal
84,Home_and_Kitchen_5,5,User Generated,item describ arriv time manner
85,Home_and_Kitchen_5,3,User Generated,bought sent one back n't work
86,Home_and_Kitchen_5,5,User Generated,made well hold make brush pencil mascara etc
87,Home_and_Kitchen_5,1,User Generated,shed would buy ever blanket
88,Home_and_Kitchen_5,5,User Generated,work great 's pyrex i 'd expect noth le
89,Home_and_Kitchen_5,5,User Generated,like littl open real easi hand
90,Home_and_Kitchen_5,5,User Generated,perfect love everyth look great kitchen
91,Home_and_Kitchen_5,5,User Generated,air tight work great glad got
92,Home_and_Kitchen_5,5,User Generated,veri cute good qualiti fabric zipper work well
93,Home_and_Kitchen_5,5,User Generated,these great send grandkid halloween treat
94,Home_and_Kitchen_5,5,User Generated,save ton use instead paper towel
95,Home_and_Kitchen_5,2,User Generated,these weak they bare bring air
96,Home_and_Kitchen_5,5,User Generated,great set glass good qualiti comfort handl
97,Home_and_Kitchen_5,4,User Generated,it feel cool touch super hard
98,Home_and_Kitchen_5,5,User Generated,so cute made well grand daughter love
99,Home_and_Kitchen_5,5,User Generated,work expect connect cctv power suppli camera
100,Home_and_Kitchen_5,5,User Generated,veri soft definit better qualiti i expect
101,Home_and_Kitchen_5,5,User Generated,nice contemporari great price easi assembl
102,Home_and_Kitchen_5,5,User Generated,super cute appear great qualiti highli recommend
103,Home_and_Kitchen_5,5,User Generated,these realli cool actual my boyfriend love
104,Home_and_Kitchen_5,5,User Generated,bought gift cousin veri nice
105,Home_and_Kitchen_5,1,User Generated,stop work one use still wait refund
106,Home_and_Kitchen_5,4,User Generated,cute reason price i happi purchas
107,Home_and_Kitchen_5,5,User Generated,well receiv comfort gave gift dialysi patient
108,Home_and_Kitchen_5,2,User Generated,expect poor qualiti
109,Home_and_Kitchen_5,5,User Generated,easi review the kid dd love thank
110,Home_and_Kitchen_5,3,Computer Generated,realli ruff foot feel sturdi i keep foot chair
111,Home_and_Kitchen_5,5,Computer Generated,order place special photo wall we 've coupl week
112,Home_and_Kitchen_5,5,Computer Generated,babi like thermal insul help keep food warmer the thermal insul help keep
113,Home_and_Kitchen_5,4,Computer Generated,i like wish wide open i also love 's made
114,Home_and_Kitchen_5,5,Computer Generated,i love pyrex qualiti set best i purchas futur
115,Home_and_Kitchen_5,5,Computer Generated,perfect addit storag conveni the problem 's realli vacuum
116,Home_and_Kitchen_5,5,Computer Generated,these smell great i 'm pretti happi qualiti qualiti product thi
117,Home_and_Kitchen_5,2,Computer Generated,the turquois almost neon it 's bright pink
118,Home_and_Kitchen_5,5,Computer Generated,easi hold materi nice thick i keep shelv order
119,Home_and_Kitchen_5,5,Computer Generated,work great chocol yogurt fruit i also love 's remov
120,Home_and_Kitchen_5,5,Computer Generated,love i think i buy more.veri nice set knive i one
121,Home_and_Kitchen_5,5,Computer Generated,nice small ottoman not big small
122,Home_and_Kitchen_5,5,Computer Generated,look great kitchen the problem 's kind hard put
123,Home_and_Kitchen_5,5,Computer Generated,bought father 's day gift 's i need i love
124,Home_and_Kitchen_5,5,Computer Generated,great winter month soft comfort i 've slept week
125,Home_and_Kitchen_5,3,Computer Generated,nice soft sheet i find difficult put bed warm
126,Home_and_Kitchen_5,5,Computer Generated,thi beauti made sturdi comfort chair it comfort function
127,Home_and_Kitchen_5,3,Computer Generated,need buy two go wide wooden leg bed i one
128,Home_and_Kitchen_5,5,Computer Generated,veri nice sturdi i use long-term storag contain small bag
